application_id,destination_country,visa_type,nationality,application_date,decision_date,processing_time_days,processing_time_weeks,visa_status,processing_center,biometric_required,interview_required,application_mode
VISA00001,Australia,Tourist,Nigeria,2022-10-16,2022-11-22,37.0,5.29,Approved,Abuja,Yes,Yes,Online
VISA00002,Australia,Student,India,2022-03-12,2022-05-19,68.0,9.71,Approved,Chennai,Yes,No,
VISA00003,Australia,Tourist,Brazil,2022-02-04,,,,Pending,Sao Paulo,No,Yes,
VISA00004,Canada,Work,Bangladesh,2022-04-01,2022-06-13,73.0,10.43,Approved,Dhaka,Yes,No,Offline
VISA00005,Canada,Student,Philippines,2022-02-08,2022-04-18,69.0,9.86,Approved,Manila,Yes,Yes,
VISA00006,USA,Work,Brazil,2023-05-03,2023-06-18,46.0,6.57,Approved,Sao Paulo,Yes,No,Offline
VISA00007,Australia,Work,Bangladesh,2022-11-22,,,,Pending,Dhaka,No,Yes,Online
VISA00008,USA,Student,Nigeria,2023-05-19,2023-07-23,65.0,9.29,Approved,Abuja,No,Yes,Online
VISA00009,UK,Work,China,2022-12-07,2023-01-28,52.0,7.43,Approved,Beijing,Yes,Yes,Online
VISA00010,Australia,Tourist,India,2023-01-19,2023-02-15,27.0,3.86,Approved,Mumbai,Yes,No,Online
VISA00011,UK,Student,China,2023-05-18,2023-07-13,56.0,8.0,Approved,Beijing,Yes,Yes,
VISA00012,Australia,Work,India,2023-05-10,2023-06-14,35.0,5.0,Approved,Bengaluru,No,Yes,Offline
VISA00013,Australia,Tourist,Nigeria,2022-03-13,,,,Pending,Lagos,Yes,Yes,
VISA00014,USA,Tourist,China,2022-09-16,2022-11-23,68.0,9.71,Approved,Shanghai,No,Yes,Online
VISA00015,Canada,Tourist,Brazil,2023-01-13,2023-03-02,48.0,6.86,Approved,Sao Paulo,No,No,Online
VISA00016,Canada,Work,Pakistan,2022-01-11,2022-02-02,22.0,3.14,Approved,Lahore,No,Yes,
VISA00017,Australia,Student,Philippines,2022-05-22,2022-06-20,29.0,4.14,Approved,Manila,Yes,Yes,
VISA00018,USA,Tourist,Philippines,2022-05-02,2022-06-02,31.0,4.43,Rejected,Manila,No,No,Offline
VISA00019,Canada,Student,Nigeria,2022-07-08,,,,Pending,Lagos,Yes,Yes,Online
VISA00020,USA,Work,Philippines,2023-02-12,2023-03-17,33.0,4.71,Rejected,Manila,No,Yes,Online
VISA00021,UK,Tourist,Philippines,2022-10-30,2023-01-03,65.0,9.29,Rejected,Manila,No,Yes,
VISA00022,UK,Tourist,Pakistan,2023-06-14,2023-08-11,58.0,8.29,Approved,Islamabad,Yes,Yes,
VISA00023,Canada,Student,Brazil,2022-12-30,2023-03-02,62.0,8.86,Approved,Sao Paulo,Yes,Yes,
VISA00024,USA,Work,Brazil,2023-03-30,2023-05-26,57.0,8.14,Approved,Sao Paulo,Yes,Yes,Online
VISA00025,USA,Tourist,India,2022-09-10,2022-11-11,62.0,8.86,Approved,Bengaluru,No,No,Online
VISA00026,UK,Tourist,Philippines,2023-05-14,2023-07-25,72.0,10.29,Approved,Manila,Yes,Yes,Offline
VISA00027,UK,Tourist,Nigeria,2022-08-10,2022-10-03,54.0,7.71,Rejected,Abuja,No,Yes,Offline
VISA00028,UK,Tourist,Philippines,2023-01-27,2023-04-12,75.0,10.71,Rejected,Manila,Yes,Yes,Offline
VISA00029,Australia,Tourist,Nigeria,2022-05-29,2022-06-27,29.0,4.14,Approved,Abuja,No,No,
VISA00030,USA,Work,China,2022-06-20,2022-08-01,42.0,6.0,Rejected,Shanghai,No,Yes,Offline
VISA00031,UK,Student,India,2023-06-12,2023-08-19,68.0,9.71,Approved,New Delhi,Yes,Yes,
VISA00032,Australia,Work,China,2022-06-10,,,,Pending,Shanghai,No,No,Offline
VISA00033,Canada,Student,Pakistan,2023-01-29,2023-02-21,23.0,3.29,Rejected,Lahore,Yes,No,
VISA00034,USA,Tourist,Brazil,2022-03-18,2022-04-14,27.0,3.86,Approved,Sao Paulo,No,No,Online
VISA00035,Canada,Student,India,2022-04-07,,,,Pending,Hyderabad,No,No,Online
VISA00036,Canada,Student,Bangladesh,2023-03-19,2023-04-09,21.0,3.0,Approved,Dhaka,No,No,
VISA00037,Australia,Work,Nigeria,2022-01-19,2022-02-10,22.0,3.14,Rejected,Lagos,Yes,Yes,Online
VISA00038,Australia,Work,Philippines,2022-12-13,2023-01-13,31.0,4.43,Approved,Manila,No,Yes,Online
VISA00039,Canada,Work,China,2023-06-09,2023-08-18,70.0,10.0,Approved,Beijing,No,No,Online
VISA00040,Australia,Student,Nigeria,2022-10-09,2022-12-12,64.0,9.14,Rejected,Lagos,Yes,Yes,Online
VISA00041,Australia,Work,Bangladesh,2022-07-23,2022-10-02,71.0,10.14,Rejected,Dhaka,Yes,No,Online
VISA00042,UK,Work,Nigeria,2022-06-28,2022-08-04,37.0,5.29,Approved,Lagos,No,Yes,Offline
VISA00043,UK,Tourist,Brazil,2022-02-26,2022-04-30,63.0,9.0,Approved,Sao Paulo,Yes,No,Offline
VISA00044,UK,Student,Nigeria,2022-01-12,,,,Pending,Abuja,No,Yes,Offline
VISA00045,Canada,Student,China,2023-05-28,,,,Pending,Beijing,Yes,No,Offline
VISA00046,USA,Tourist,China,2022-09-03,2022-10-08,35.0,5.0,Approved,Shanghai,No,Yes,Online
VISA00047,Canada,Work,Philippines,2022-04-20,2022-06-15,56.0,8.0,Approved,Manila,No,Yes,Online
VISA00048,Australia,Work,Nigeria,2023-05-22,2023-07-22,61.0,8.71,Rejected,Abuja,Yes,No,Offline
VISA00049,Australia,Student,Nigeria,2022-09-29,2022-12-16,78.0,11.14,Approved,Abuja,Yes,No,
VISA00050,Canada,Work,Philippines,2022-08-13,,,,Pending,Manila,Yes,No,Online
VISA00051,UK,Tourist,India,2023-04-14,2023-05-12,28.0,4.0,Approved,Hyderabad,No,Yes,Online
VISA00052,Australia,Tourist,Bangladesh,2022-12-08,2023-01-27,50.0,7.14,Approved,Dhaka,No,Yes,Offline
VISA00053,UK,Student,Brazil,2022-09-14,2022-10-27,43.0,6.14,Rejected,Sao Paulo,Yes,No,Online
VISA00054,Canada,Student,China,2022-05-14,2022-07-24,71.0,10.14,Approved,Shanghai,No,Yes,
VISA00055,Australia,Tourist,Nigeria,2023-05-23,2023-07-27,65.0,9.29,Approved,Lagos,No,Yes,Online
VISA00056,UK,Work,Brazil,2022-03-01,2022-05-06,66.0,9.43,Approved,Sao Paulo,Yes,Yes,
VISA00057,Canada,Work,China,2023-03-31,2023-05-26,56.0,8.0,Approved,Beijing,No,Yes,
VISA00058,UK,Tourist,Bangladesh,2023-02-16,2023-04-11,54.0,7.71,Rejected,Dhaka,No,Yes,Offline
VISA00059,USA,Tourist,Brazil,2023-04-11,2023-06-27,77.0,11.0,Rejected,Sao Paulo,Yes,No,Offline
VISA00060,USA,Student,Nigeria,2022-10-05,2022-11-18,44.0,6.29,Approved,Lagos,Yes,No,Online
VISA00061,USA,Student,Nigeria,2022-06-11,2022-07-22,41.0,5.86,Rejected,Lagos,Yes,Yes,
VISA00062,USA,Student,Philippines,2022-07-28,2022-09-06,40.0,5.71,Rejected,Manila,Yes,Yes,Online
VISA00063,Canada,Tourist,Pakistan,2022-07-28,2022-10-08,72.0,10.29,Approved,Islamabad,Yes,No,Offline
VISA00064,Australia,Tourist,Bangladesh,2022-02-05,2022-03-02,25.0,3.57,Approved,Dhaka,No,Yes,Online
VISA00065,UK,Student,China,2023-04-29,2023-06-15,47.0,6.71,Rejected,Beijing,No,No,Offline
VISA00066,UK,Work,China,2023-02-03,,,,Pending,Shanghai,Yes,Yes,Offline
VISA00067,Australia,Work,Pakistan,2022-11-29,2022-12-26,27.0,3.86,Rejected,Islamabad,No,No,Online
VISA00068,Canada,Tourist,Bangladesh,2022-02-20,2022-05-06,75.0,10.71,Approved,Dhaka,Yes,No,Online
VISA00069,Canada,Work,Pakistan,2022-02-17,2022-03-31,42.0,6.0,Approved,Lahore,No,Yes,Online
VISA00070,Canada,Student,Philippines,2022-02-02,2022-03-03,29.0,4.14,Approved,Manila,Yes,No,Online
VISA00071,Australia,Tourist,China,2022-07-14,2022-09-09,57.0,8.14,Approved,Shanghai,No,No,Online
VISA00072,Canada,Tourist,Bangladesh,2022-10-22,2023-01-03,73.0,10.43,Rejected,Dhaka,Yes,Yes,Online
VISA00073,UK,Student,China,2023-01-24,2023-03-29,64.0,9.14,Rejected,Shanghai,No,Yes,
VISA00074,UK,Tourist,Pakistan,2022-08-05,2022-09-27,53.0,7.57,Rejected,Lahore,Yes,Yes,Online
VISA00075,Canada,Student,Nigeria,2023-05-27,2023-07-30,64.0,9.14,Rejected,Abuja,Yes,No,Offline
VISA00076,Canada,Student,China,2023-06-16,2023-07-08,22.0,3.14,Approved,Shanghai,Yes,No,Online
VISA00077,USA,Tourist,Brazil,2022-03-18,2022-04-15,28.0,4.0,Rejected,Sao Paulo,No,No,
VISA00078,Australia,Work,Bangladesh,2022-04-29,2022-05-22,23.0,3.29,Approved,Dhaka,No,No,
VISA00079,Canada,Student,Bangladesh,2022-12-20,2023-02-17,59.0,8.43,Rejected,Dhaka,Yes,Yes,Offline
VISA00080,USA,Tourist,Brazil,2022-12-15,2023-02-27,74.0,10.57,Approved,Sao Paulo,Yes,Yes,Online
VISA00081,Canada,Student,Brazil,2022-11-29,2023-01-20,52.0,7.43,Approved,Sao Paulo,No,Yes,
VISA00082,USA,Work,Brazil,2022-06-27,,,,Pending,Sao Paulo,No,No,Offline
VISA00083,Australia,Student,Nigeria,2022-10-31,2023-01-02,63.0,9.0,Rejected,Abuja,No,No,Online
VISA00084,Canada,Work,Bangladesh,2022-03-27,2022-06-13,78.0,11.14,Approved,Dhaka,Yes,Yes,
VISA00085,USA,Student,Pakistan,2023-01-25,,,,Pending,Lahore,No,Yes,
VISA00086,USA,Tourist,India,2022-02-01,,,,Pending,Hyderabad,Yes,Yes,
VISA00087,USA,Work,India,2023-02-22,2023-04-26,63.0,9.0,Approved,Bengaluru,No,No,Online
VISA00088,Canada,Student,Pakistan,2022-11-06,2023-01-19,74.0,10.57,Approved,Lahore,No,No,
VISA00089,Australia,Student,Bangladesh,2022-04-29,2022-06-17,49.0,7.0,Approved,Dhaka,Yes,Yes,Offline
VISA00090,UK,Tourist,Bangladesh,2023-06-12,2023-08-07,56.0,8.0,Rejected,Dhaka,No,No,Online
VISA00091,UK,Student,China,2023-05-10,2023-07-11,62.0,8.86,Approved,Shanghai,No,Yes,
VISA00092,USA,Work,Nigeria,2022-07-09,2022-09-21,74.0,10.57,Approved,Lagos,No,Yes,
VISA00093,USA,Tourist,Bangladesh,2022-10-28,2022-11-23,26.0,3.71,Approved,Dhaka,Yes,Yes,
VISA00094,Australia,Tourist,Brazil,2023-03-06,,,,Pending,Sao Paulo,No,No,
VISA00095,Australia,Work,China,2022-07-16,2022-08-26,41.0,5.86,Approved,Beijing,Yes,No,
VISA00096,Australia,Student,China,2022-10-17,2023-01-02,77.0,11.0,Approved,Shanghai,No,No,Offline
VISA00097,USA,Student,Bangladesh,2022-09-28,2022-12-20,83.0,11.86,Rejected,Dhaka,Yes,No,
VISA00098,Canada,Tourist,Brazil,2022-06-26,2022-08-22,57.0,8.14,Approved,Sao Paulo,Yes,Yes,Online
VISA00099,Canada,Work,Brazil,2022-06-22,,,,Pending,Sao Paulo,No,No,Online
VISA00100,Canada,Work,Nigeria,2023-01-25,2023-03-10,44.0,6.29,Rejected,Lagos,No,No,Online
VISA00101,Canada,Student,China,2022-04-12,2022-05-17,35.0,5.0,Approved,Beijing,No,No,
VISA00102,UK,Work,Philippines,2022-03-28,2022-06-08,72.0,10.29,Rejected,Manila,Yes,No,Online
VISA00103,USA,Work,Bangladesh,2022-11-23,2023-01-16,54.0,7.71,Rejected,Dhaka,No,No,Offline
VISA00104,Australia,Work,Pakistan,2022-09-07,2022-10-06,29.0,4.14,Rejected,Islamabad,Yes,No,Offline
VISA00105,Canada,Work,Bangladesh,2023-03-22,2023-04-29,38.0,5.43,Approved,Dhaka,No,No,Offline
VISA00106,USA,Student,China,2022-04-03,,,,Pending,Shanghai,Yes,No,
VISA00107,Australia,Student,Philippines,2022-12-04,2023-01-27,54.0,7.71,Approved,Manila,Yes,Yes,
VISA00108,Canada,Tourist,China,2023-01-16,2023-03-12,55.0,7.86,Rejected,Beijing,No,No,Online
VISA00109,USA,Tourist,Pakistan,2023-02-13,,,,Pending,Islamabad,No,Yes,Offline
VISA00110,Canada,Tourist,Brazil,2022-10-10,2022-10-27,17.0,2.43,Rejected,Sao Paulo,Yes,Yes,Offline
VISA00111,Canada,Work,Pakistan,2022-04-24,,,,Pending,Lahore,Yes,No,Online
VISA00112,Australia,Work,China,2023-01-28,2023-02-22,25.0,3.57,Approved,Beijing,No,Yes,Online
VISA00113,USA,Work,Pakistan,2023-05-12,2023-07-13,62.0,8.86,Approved,Islamabad,No,Yes,
VISA00114,USA,Tourist,Brazil,2022-09-26,2022-11-05,40.0,5.71,Rejected,Sao Paulo,Yes,Yes,
VISA00115,UK,Tourist,Nigeria,2023-06-08,2023-07-16,38.0,5.43,Rejected,Lagos,Yes,Yes,Online
VISA00116,USA,Work,Bangladesh,2023-06-21,2023-08-16,56.0,8.0,Approved,Dhaka,Yes,No,
VISA00117,Canada,Tourist,China,2022-12-11,2023-01-11,31.0,4.43,Approved,Shanghai,No,Yes,Online
VISA00118,Australia,Student,Pakistan,2022-09-23,,,,Pending,Islamabad,Yes,Yes,Offline
VISA00119,Canada,Student,Brazil,2022-08-18,2022-10-21,64.0,9.14,Approved,Sao Paulo,Yes,No,Offline
VISA00120,Canada,Tourist,Bangladesh,2022-05-14,2022-06-21,38.0,5.43,Rejected,Dhaka,No,No,Offline
VISA00121,Canada,Work,Philippines,2022-07-07,,,,Pending,Manila,Yes,No,Online
VISA00122,Australia,Student,Pakistan,2022-08-14,2022-09-25,42.0,6.0,Rejected,Lahore,Yes,Yes,
VISA00123,Canada,Student,India,2023-05-21,2023-07-11,51.0,7.29,Rejected,Bengaluru,No,No,
VISA00124,Canada,Student,China,2023-06-14,2023-07-26,42.0,6.0,Approved,Beijing,No,No,Offline
VISA00125,UK,Work,Philippines,2022-01-19,2022-02-21,33.0,4.71,Approved,Manila,Yes,Yes,Offline
VISA00126,UK,Work,Bangladesh,2023-03-30,2023-05-28,59.0,8.43,Approved,Dhaka,No,No,Online
VISA00127,Canada,Student,Brazil,2023-05-18,,,,Pending,Sao Paulo,No,Yes,Online
VISA00128,Australia,Work,Bangladesh,2022-10-27,2023-01-14,79.0,11.29,Approved,Dhaka,No,Yes,Online
VISA00129,Canada,Work,Philippines,2023-06-18,2023-07-27,39.0,5.57,Approved,Manila,No,Yes,Online
VISA00130,Australia,Tourist,China,2022-11-07,2023-01-15,69.0,9.86,Approved,Beijing,Yes,Yes,Online
VISA00131,USA,Work,Nigeria,2023-02-11,2023-03-16,33.0,4.71,Approved,Abuja,Yes,Yes,
VISA00132,USA,Student,Philippines,2022-05-17,2022-07-11,55.0,7.86,Approved,Manila,Yes,Yes,Online
VISA00133,Canada,Tourist,Pakistan,2022-07-21,2022-09-22,63.0,9.0,Approved,Lahore,Yes,No,Online
VISA00134,Australia,Tourist,Philippines,2022-03-10,2022-04-20,41.0,5.86,Rejected,Manila,No,No,Offline
VISA00135,Australia,Student,China,2022-08-16,,,,Pending,Beijing,No,No,
VISA00136,USA,Work,China,2022-10-25,2023-01-11,78.0,11.14,Rejected,Shanghai,No,Yes,
VISA00137,UK,Work,Brazil,2022-08-20,2022-10-21,62.0,8.86,Approved,Sao Paulo,Yes,No,Online
VISA00138,UK,Tourist,Brazil,2023-03-19,2023-05-29,71.0,10.14,Approved,Sao Paulo,Yes,No,Offline
VISA00139,Australia,Student,India,2022-04-16,2022-05-09,23.0,3.29,Approved,Bengaluru,Yes,Yes,Offline
VISA00140,USA,Student,China,2022-09-23,2022-11-19,57.0,8.14,Approved,Shanghai,Yes,No,Online
VISA00141,UK,Student,Philippines,2023-01-18,2023-03-30,71.0,10.14,Rejected,Manila,Yes,No,Online
VISA00142,UK,Work,Pakistan,2022-07-04,2022-07-22,18.0,2.57,Approved,Lahore,Yes,No,Online
VISA00143,USA,Work,Philippines,2022-10-11,2022-11-19,39.0,5.57,Rejected,Manila,No,No,
VISA00144,USA,Student,Nigeria,2023-04-01,2023-06-12,72.0,10.29,Approved,Lagos,No,Yes,Offline
VISA00145,USA,Work,Nigeria,2022-03-09,2022-05-17,69.0,9.86,Approved,Lagos,Yes,No,Online
VISA00146,USA,Work,Pakistan,2022-08-09,2022-11-05,88.0,12.57,Approved,Lahore,Yes,No,
VISA00147,Canada,Tourist,Pakistan,2023-03-24,2023-06-02,70.0,10.0,Approved,Lahore,No,Yes,Offline
VISA00148,UK,Student,Brazil,2022-07-29,,,,Pending,Sao Paulo,Yes,Yes,Online
VISA00149,Canada,Work,Bangladesh,2023-02-03,,,,Pending,Dhaka,Yes,Yes,Online
VISA00150,Australia,Student,Philippines,2022-04-21,2022-06-06,46.0,6.57,Approved,Manila,No,Yes,Online
VISA00151,USA,Student,Bangladesh,2023-01-28,2023-03-23,54.0,7.71,Rejected,Dhaka,Yes,No,
VISA00152,UK,Tourist,Bangladesh,2022-05-29,2022-08-02,65.0,9.29,Rejected,Dhaka,No,No,
VISA00153,UK,Tourist,Philippines,2022-01-29,2022-03-28,58.0,8.29,Approved,Manila,No,No,Offline
VISA00154,UK,Work,India,2022-04-23,,,,Pending,Hyderabad,Yes,No,Offline
VISA00155,Australia,Student,China,2022-08-15,2022-09-16,32.0,4.57,Approved,Shanghai,Yes,Yes,Online
VISA00156,UK,Work,Philippines,2023-02-13,2023-03-24,39.0,5.57,Rejected,Manila,Yes,Yes,
VISA00157,Canada,Student,India,2022-04-03,2022-05-23,50.0,7.14,Approved,Hyderabad,Yes,Yes,Online
VISA00158,Australia,Student,China,2022-08-17,2022-09-28,42.0,6.0,Rejected,Beijing,No,No,Online
VISA00159,Australia,Tourist,Nigeria,2023-03-21,2023-04-21,31.0,4.43,Rejected,Lagos,Yes,Yes,Online
VISA00160,USA,Student,Philippines,2022-03-25,2022-04-23,29.0,4.14,Approved,Manila,No,Yes,Online
VISA00161,USA,Tourist,Nigeria,2023-06-18,2023-08-05,48.0,6.86,Rejected,Lagos,No,Yes,Online
VISA00162,Australia,Work,India,2022-10-16,2022-12-26,71.0,10.14,Approved,New Delhi,No,Yes,
VISA00163,UK,Tourist,Brazil,2022-10-03,2022-11-07,35.0,5.0,Approved,Sao Paulo,No,Yes,Online
VISA00164,USA,Tourist,Nigeria,2022-12-10,2023-01-27,48.0,6.86,Approved,Abuja,Yes,Yes,
VISA00165,UK,Tourist,Philippines,2023-05-22,2023-07-14,53.0,7.57,Approved,Manila,Yes,Yes,Online
VISA00166,USA,Work,Nigeria,2023-02-04,2023-04-11,66.0,9.43,Approved,Abuja,No,No,Online
VISA00167,USA,Student,Philippines,2022-09-20,2022-10-20,30.0,4.29,Approved,Manila,No,No,Online
VISA00168,Canada,Work,Nigeria,2022-02-25,2022-04-18,52.0,7.43,Approved,Lagos,Yes,Yes,Offline
VISA00169,USA,Tourist,Bangladesh,2022-06-28,2022-09-14,78.0,11.14,Approved,Dhaka,Yes,No,Offline
VISA00170,USA,Work,Nigeria,2022-05-22,2022-06-23,32.0,4.57,Approved,Abuja,Yes,Yes,
VISA00171,USA,Tourist,India,2022-02-28,2022-04-03,34.0,4.86,Approved,Chennai,No,Yes,Online
VISA00172,Canada,Student,Brazil,2022-12-02,2023-01-13,42.0,6.0,Approved,Sao Paulo,Yes,Yes,
VISA00173,Australia,Work,India,2022-10-27,2023-01-10,75.0,10.71,Approved,New Delhi,Yes,Yes,Offline
VISA00174,Canada,Tourist,Nigeria,2023-01-02,2023-02-19,48.0,6.86,Approved,Abuja,Yes,Yes,
VISA00175,Australia,Student,Pakistan,2022-04-23,,,,Pending,Lahore,Yes,No,Online
VISA00176,Canada,Work,China,2022-03-03,2022-05-15,73.0,10.43,Rejected,Shanghai,Yes,Yes,Online
VISA00177,Canada,Work,Nigeria,2022-07-05,,,,Pending,Abuja,Yes,Yes,Online
VISA00178,USA,Work,China,2022-06-06,2022-08-08,63.0,9.0,Approved,Shanghai,No,Yes,Offline
VISA00179,USA,Tourist,Philippines,2022-07-20,2022-08-12,23.0,3.29,Approved,Manila,Yes,Yes,Online
VISA00180,Canada,Work,Bangladesh,2023-03-31,,,,Pending,Dhaka,Yes,No,Offline
VISA00181,UK,Student,Bangladesh,2022-05-16,2022-07-08,53.0,7.57,Approved,Dhaka,No,Yes,Offline
VISA00182,Australia,Tourist,Bangladesh,2023-04-08,2023-05-17,39.0,5.57,Approved,Dhaka,Yes,Yes,Offline
VISA00183,Australia,Student,Nigeria,2023-05-08,2023-06-11,34.0,4.86,Rejected,Lagos,No,Yes,
VISA00184,USA,Work,Pakistan,2022-07-28,,,,Pending,Islamabad,Yes,Yes,
VISA00185,Australia,Work,Nigeria,2022-09-13,,,,Pending,Abuja,Yes,Yes,
VISA00186,UK,Tourist,China,2023-02-25,2023-04-17,51.0,7.29,Approved,Beijing,Yes,No,
VISA00187,Australia,Student,Brazil,2022-04-24,,,,Pending,Sao Paulo,No,Yes,Offline
VISA00188,USA,Work,Brazil,2022-02-01,2022-03-13,40.0,5.71,Approved,Sao Paulo,Yes,No,Offline
VISA00189,USA,Tourist,Brazil,2023-06-24,2023-07-31,37.0,5.29,Rejected,Sao Paulo,Yes,Yes,
VISA00190,UK,Tourist,Brazil,2022-01-04,2022-01-21,17.0,2.43,Approved,Sao Paulo,Yes,Yes,Online
VISA00191,USA,Student,China,2023-03-22,2023-05-09,48.0,6.86,Approved,Shanghai,No,Yes,Online
VISA00192,Australia,Tourist,Nigeria,2023-06-19,2023-08-26,68.0,9.71,Approved,Lagos,No,Yes,Online
VISA00193,UK,Work,Nigeria,2022-09-07,2022-10-29,52.0,7.43,Approved,Lagos,No,No,Offline
VISA00194,Canada,Tourist,Nigeria,2022-11-16,2023-01-13,58.0,8.29,Rejected,Abuja,No,Yes,Online
VISA00195,Canada,Work,Brazil,2022-11-16,2023-01-28,73.0,10.43,Rejected,Sao Paulo,No,Yes,Offline
VISA00196,Australia,Tourist,Bangladesh,2023-01-21,2023-03-04,42.0,6.0,Approved,Dhaka,No,No,Online
VISA00197,Canada,Work,Brazil,2022-07-27,2022-08-12,16.0,2.29,Approved,Sao Paulo,No,Yes,
VISA00198,Canada,Student,India,2023-06-24,2023-09-13,81.0,11.57,Approved,Bengaluru,Yes,Yes,
VISA00199,UK,Student,Bangladesh,2023-02-18,2023-03-12,22.0,3.14,Approved,Dhaka,Yes,Yes,Offline
VISA00200,Australia,Work,Nigeria,2023-03-11,,,,Pending,Lagos,Yes,No,Online
VISA00201,Canada,Tourist,Pakistan,2023-03-28,2023-05-05,38.0,5.43,Approved,Islamabad,No,Yes,
VISA00202,Canada,Tourist,India,2023-04-15,2023-05-15,30.0,4.29,Approved,Chennai,No,No,Offline
VISA00203,UK,Work,Nigeria,2022-06-03,2022-06-24,21.0,3.0,Approved,Abuja,Yes,No,
VISA00204,Australia,Tourist,China,2022-07-24,2022-10-10,78.0,11.14,Rejected,Beijing,Yes,Yes,Offline
VISA00205,UK,Work,Pakistan,2022-03-30,,,,Pending,Islamabad,No,No,
VISA00206,USA,Work,India,2022-10-07,2022-11-06,30.0,4.29,Approved,New Delhi,Yes,Yes,
VISA00207,USA,Work,Pakistan,2022-09-05,2022-11-21,77.0,11.0,Approved,Islamabad,Yes,Yes,Offline
VISA00208,Canada,Work,Bangladesh,2022-10-10,,,,Pending,Dhaka,Yes,No,Offline
VISA00209,Canada,Work,Brazil,2022-04-19,2022-06-21,63.0,9.0,Approved,Sao Paulo,Yes,No,
VISA00210,UK,Tourist,Nigeria,2022-09-30,2022-11-13,44.0,6.29,Rejected,Lagos,No,Yes,Offline
VISA00211,UK,Work,Philippines,2023-04-01,2023-05-12,41.0,5.86,Rejected,Manila,Yes,Yes,
VISA00212,Canada,Work,India,2022-04-24,,,,Pending,Hyderabad,Yes,Yes,Online
VISA00213,UK,Student,China,2022-06-12,2022-07-20,38.0,5.43,Approved,Beijing,No,No,
VISA00214,Australia,Work,India,2022-06-12,,,,Pending,Chennai,No,Yes,
VISA00215,Canada,Tourist,India,2022-09-25,2022-10-14,19.0,2.71,Approved,Hyderabad,No,Yes,Online
VISA00216,Australia,Tourist,Philippines,2023-01-26,,,,Pending,Manila,Yes,No,Online
VISA00217,Australia,Tourist,India,2022-04-20,2022-07-12,83.0,11.86,Rejected,Chennai,Yes,No,Online
VISA00218,USA,Student,India,2022-04-25,2022-07-11,77.0,11.0,Rejected,Bengaluru,No,Yes,Online
VISA00219,USA,Tourist,India,2023-05-17,2023-06-06,20.0,2.86,Approved,New Delhi,No,No,
